k,MMR avg
0,"5,000"
1000,"4,948.33"
2000,"4,890.67"
3000,"4,837.22"
4000,"4,787.11"
5000,"4,730.89"
6000,"4,674.55"
7000,"4,632"
8000,"4,574"
9000,"4,516.67"
10000,"4,462.55"
11000,"4,416.44"
12000,"4,368.22"
13000,"4,320.67"
14000,"4,271.78"
15000,"4,214.11"
16000,"4,158.55"
17000,"4,098.22"
18000,"4,051"
19000,"3,998.55"
20000,"3,945.33"
21000,"3,883.55"
22000,"3,839"
23000,"3,793"
24000,"3,751"
25000,"3,697"
26000,"3,644"
27000,"3,577"
28000,"3,524"
29000,"3,483"
30000,"3,426"
31000,"3,367.99"
32000,"3,333.99"
33000,"3,276.99"
34000,"3,222.99"
35000,"3,176.99"
36000,"3,127.99"
37000,"3,082.99"
38000,"3,025.99"
39000,"2,968.99"
40000,"2,924.99"
41000,"2,864.99"
42000,"2,820.99"
43000,"2,767.99"
44000,"2,713.99"
45000,"2,671.99"
46000,"2,604.99"
47000,"2,534.99"
48000,"2,491.99"
49000,"2,444.99"
50000,"2,387.99"
51000,"2,318.99"
52000,"2,268.99"
53000,"2,212.99"
54000,"2,154.99"
55000,"2,101.99"
56000,"2,048.99"
57000,"1,988.99"
58000,"1,936.99"
59000,"1,889.99"
60000,"1,834.99"
61000,"1,792.99"
62000,"1,747.99"
63000,"1,701.99"
64000,"1,632.99"
65000,"1,594.99"
66000,"1,545.99"
67000,"1,498.99"
68000,"1,444.99"
69000,"1,374.99"
70000,"1,341.99"
71000,"1,286.99"
72000,"1,247.99"
73000,"1,182.99"
74000,"1,132.99"
75000,"1,082.99"
76000,"1,038.99"
77000,990.99
78000,943.99
79000,900.99
80000,849.99
81000,801.99
82000,744.99
83000,688.99
84000,646.99
85000,603.98
86000,552.98
87000,495.98
88000,436.98
89000,436.98
90000,436.98
91000,436.98
92000,436.98
93000,436.98
94000,436.98
95000,436.98
96000,436.98
97000,436.98
98000,436.98
99000,436.98
100000,436.98
